nft_id:owner
1:0x7a111c46e58436fe29253995ba96c45ebd873489
2:0x614730e13933fb20bfb91825a03511acfeacf274
3:smr1qr8ae0cw9xhvecwg5rmhalt4ha9c2qrcpx4flsty35299p6kvtc865m24r0
4:0xd4fee5e3de07ddd39843c0d49509c9cb95a94449
5:0x2905262fbdc7c33dd3a1dce0c1308ae9e0b37cdc
6:0x807568a61f336b9d620a30d9fba29d9c2499e16e
7:0xfc822476d4b890c06ec425e3b29647dae2b28522
8:0xd17be40bb9256b90325272a52ad22f661fd9cb19
9:0x8821bcbbba477f9390e31500d41740cb64f9145d
10:0x342df3908f69e28763b73e08e5ee5ca224a35416
11:0xe23c864b37c70d6a1222367c66c01a1358a27def
12:0x8e43b8b745abf815a0416d8aaebbb6aaa8593a32
13:0x3f1ec2d79d04f88d968b1028953c820950e04bf6
14:0xba7fcc10cc180daf9d73b1e067765686e7aa657d
15:0x8e43b8b745abf815a0416d8aaebbb6aaa8593a32
16:0xa1a07924bc4a4f00ebfb7a0e2c6547457fafc231
17:0x51f9bbfd317d8fe75751a84c585339c92bde7d4a
18:0x373e9524907354fa49729726174254bc0a0f835c
19:0x7a111c46e58436fe29253995ba96c45ebd873489
20:0xda51e25fbb0a110118bfb5b8a86d6d4a8c12a8d4
21:0x9ca331b3a363c6abe2d25a2221b4d75e07a88e1c
22:0x7a111c46e58436fe29253995ba96c45ebd873489
23:0x4a786785810824a73d85c1e553f6b62d42804162
24:0x0b92010b593d96adb94c00c04df14675db70d8bc
25:0x9bfede2fd3e68adbcee4dc21cb7b7228e0042e47
26:0x5f9c2a3a2de6bea83ea4b59e6d55a7272cf3755c
27:0x7a111c46e58436fe29253995ba96c45ebd873489
28:0x37af73d0016f87390970c927edd0c7e0fb6f6e23
29:0xd24c841fa7abada4679cb994ce4db8f78a8ae331
30:0xcedffe48d948dc98d9d6fa66f457be0958400850
31:0x133236476f5ed21bf1542f6f5e00c65102594ebc
32:0x7a111c46e58436fe29253995ba96c45ebd873489
33:0x9563e2f45a492542a76e9657f58e3822dc9b9aa6
